,0
ASV1138,8.0
ASV1137,8.0
ASV1136,8.0
ASV1135,8.0
ASV1134,8.0
ASV1132,8.0
ASV1127,8.0
ASV1130,8.0
ASV1129,8.0
ASV1128,8.0
ASV1126,8.0
ASV1125,8.0
ASV1140,8.0
ASV1139,8.0
ASV1151,8.0
ASV1141,8.0
ASV1142,8.0
ASV1143,8.0
ASV1144,8.0
ASV1145,8.0
ASV1146,8.0
ASV1147,8.0
ASV1148,8.0
ASV1149,8.0
ASV1150,8.0
ASV1123,8.0
ASV1152,8.0
ASV1153,8.0
ASV1154,8.0
ASV1155,8.0
ASV1124,8.0
ASV1133,8.0
ASV1122,8.0
ASV1096,8.0
ASV1103,8.0
ASV1102,8.0
ASV1101,8.0
ASV1100,8.0
ASV1099,8.0
ASV1098,8.0
ASV1095,8.0
ASV1105,8.0
ASV1094,8.0
ASV1093,8.0
ASV1092,8.0
ASV1091,8.0
ASV1090,8.0
ASV1121,8.0
ASV1104,8.0
ASV1097,8.0
ASV1106,8.0
ASV1113,8.0
ASV1120,8.0
ASV1107,8.0
ASV1119,8.0
ASV1118,8.0
ASV1117,8.0
ASV1115,8.0
ASV1114,8.0
ASV1116,8.0
ASV1112,8.0
ASV1111,8.0
ASV1110,8.0
ASV1109,8.0
ASV1108,8.0
ASV1216,7.0
ASV1217,7.0
ASV1209,7.0
ASV1215,7.0
ASV1214,7.0
ASV1213,7.0
ASV1212,7.0
ASV1211,7.0
ASV1210,7.0
ASV1202,7.0
ASV1208,7.0
ASV1207,7.0
ASV1206,7.0
ASV1205,7.0
ASV1204,7.0
ASV1203,7.0
ASV1201,7.0
ASV1219,7.0
ASV1200,7.0
ASV1218,7.0
ASV1236,7.0
ASV1220,7.0
ASV1231,7.0
ASV1198,7.0
ASV1239,7.0
ASV1238,7.0
ASV1237,7.0
ASV1235,7.0
ASV1234,7.0
ASV1233,7.0
ASV1232,7.0
ASV1230,7.0
ASV1221,7.0
ASV1229,7.0
ASV1228,7.0
ASV1227,7.0
ASV1226,7.0
ASV1225,7.0
ASV1224,7.0
ASV1223,7.0
ASV1222,7.0
ASV1199,7.0
ASV1179,7.0
ASV1197,7.0
ASV1164,7.0
ASV1173,7.0
ASV1172,7.0
ASV1171,7.0
ASV1170,7.0
ASV1169,7.0
ASV1168,7.0
ASV1167,7.0
ASV1166,7.0
ASV1163,7.0
ASV1175,7.0
ASV1162,7.0
ASV1161,7.0
ASV1160,7.0
ASV1159,7.0
ASV1158,7.0
ASV1157,7.0
ASV1156,7.0
ASV1196,7.0
ASV1174,7.0
ASV1165,7.0
ASV1176,7.0
ASV1186,7.0
ASV1195,7.0
ASV1177,7.0
ASV1194,7.0
ASV1193,7.0
ASV1192,7.0
ASV1191,7.0
ASV1189,7.0
ASV1188,7.0
ASV1187,7.0
ASV1190,7.0
ASV1184,7.0
ASV1183,7.0
ASV1182,7.0
ASV1181,7.0
ASV1180,7.0
ASV1185,7.0
ASV1178,7.0
ASV1314,6.0
ASV1310,6.0
ASV1306,6.0
ASV1307,6.0
ASV1308,6.0
ASV1315,6.0
ASV1311,6.0
ASV1312,6.0
ASV1313,6.0
ASV1304,6.0
ASV1305,6.0
ASV1295,6.0
ASV1303,6.0
ASV1302,6.0
ASV1301,6.0
ASV1300,6.0
ASV1299,6.0
ASV1298,6.0
ASV1297,6.0
ASV1296,6.0
ASV1294,6.0
ASV1317,6.0
ASV1293,6.0
ASV1316,6.0
ASV1338,6.0
ASV1318,6.0
ASV1331,6.0
ASV1291,6.0
ASV1341,6.0
ASV1340,6.0
ASV1339,6.0
ASV1337,6.0
ASV1336,6.0
ASV1335,6.0
ASV1334,6.0
ASV1333,6.0
ASV1332,6.0
ASV1330,6.0
ASV1319,6.0
ASV1329,6.0
ASV1328,6.0
ASV1327,6.0
ASV1326,6.0
ASV1325,6.0
ASV1324,6.0
ASV1323,6.0
ASV1322,6.0
ASV1321,6.0
ASV1320,6.0
ASV1292,6.0
ASV1309,6.0
ASV1290,6.0
ASV1265,6.0
ASV1263,6.0
ASV1262,6.0
ASV1261,6.0
ASV1260,6.0
ASV1259,6.0
ASV1258,6.0
ASV1257,6.0
ASV1256,6.0
ASV1255,6.0
ASV1254,6.0
ASV1253,6.0
ASV1252,6.0
ASV1250,6.0
ASV1249,6.0
ASV1248,6.0
ASV1247,6.0
ASV1246,6.0
ASV1245,6.0
ASV1244,6.0
ASV1243,6.0
ASV1242,6.0
ASV1241,6.0
ASV1289,6.0
ASV1264,6.0
ASV1251,6.0
ASV1266,6.0
ASV1277,6.0
ASV1267,6.0
ASV1287,6.0
ASV1286,6.0
ASV1285,6.0
ASV1284,6.0
ASV1283,6.0
ASV1281,6.0
ASV1280,6.0
ASV1279,6.0
ASV1278,6.0
ASV1282,6.0
ASV1288,6.0
ASV1272,6.0
ASV1268,6.0
ASV1276,6.0
ASV1269,6.0
ASV1270,6.0
ASV1271,6.0
ASV1240,6.0
ASV1273,6.0
ASV1274,6.0
ASV1275,6.0
ASV1426,5.0
ASV1421,5.0
ASV1422,5.0
ASV1423,5.0
ASV1424,5.0
ASV1425,5.0
ASV1432,5.0
ASV1427,5.0
ASV1428,5.0
ASV1429,5.0
ASV1431,5.0
ASV1419,5.0
ASV1430,5.0
ASV1407,5.0
ASV1418,5.0
ASV1417,5.0
ASV1416,5.0
ASV1415,5.0
ASV1414,5.0
ASV1413,5.0
ASV1412,5.0
ASV1411,5.0
ASV1410,5.0
ASV1409,5.0
ASV1408,5.0
ASV1406,5.0
ASV1405,5.0
ASV1434,5.0
ASV1433,5.0
ASV1459,5.0
ASV1435,5.0
ASV1436,5.0
ASV1463,5.0
ASV1462,5.0
ASV1461,5.0
ASV1460,5.0
ASV1403,5.0
ASV1458,5.0
ASV1457,5.0
ASV1456,5.0
ASV1455,5.0
