"peak_number","name.x","formula","calc_mw","m_z","day","height","location","mean","std","n","se","name.y","class"
16401,"arbekacin","C22 H44 N6 O10",552.31458,553.32185,"11","bottom","half",154305.56026709,6691.76506132908,2,4731.79245297301,NA,"unknown"
16401,"arbekacin","C22 H44 N6 O10",552.31458,553.32185,"18","bottom","half",152436.550323987,8695.99874438736,2,6148.999681346,NA,"unknown"
16401,"arbekacin","C22 H44 N6 O10",552.31458,553.32185,"29","bottom","half",253124.007685601,5909.05194673374,2,4178.330701919,NA,"unknown"
16541,"astromicin","C17 H35 N5 O6",405.26031,406.26759,"25","bottom","half",129316.925278806,3906.24928081732,2,2762.135355471,NA,"unknown"
16541,"astromicin","C17 H35 N5 O6",405.26031,406.26759,"29","bottom","quarter",146172.168934858,24845.1366428293,2,17568.164599651,NA,"unknown"
16541,"astromicin","C17 H35 N5 O6",405.26031,406.26759,"29","top","quarter",234054.386654036,96026.5115281697,2,67900.997475257,NA,"unknown"
16671,"aurantiogliocladin","C10 H12 O4",196.07357,197.08084,"04","bottom","half",210620.959649782,18409.9433135074,2,13017.795758241,NA,"unknown"
16671,"aurantiogliocladin","C10 H12 O4",196.07357,197.08084,"08","bottom","half",788945.065824191,171419.071402059,2,121211.587813097,NA,"unknown"
16671,"aurantiogliocladin","C10 H12 O4",196.07357,197.08084,"29","bottom","half",1779005.90325789,56459.5794784671,2,39922.9515121649,NA,"unknown"
16671,"aurantiogliocladin","C10 H12 O4",196.07357,197.08084,"29","middle","half",1494769.91102037,442631.408761915,2,312987.670701705,NA,"unknown"
16672,"aurantiogliocladin","C10 H12 O4",196.07357,197.08085,"29","top","quarter",1476791.63249514,442385.004034418,2,312813.436247975,NA,"unknown"
16673,"aurantiogliocladin","C10 H12 O4",196.07359,197.08086,"01","middle","quarter",1194202.5933847,157666.979577661,2,111487.390428565,NA,"unknown"
16673,"aurantiogliocladin","C10 H12 O4",196.07359,197.08086,"08","bottom","half",731626.610821306,231483.578464181,2,163683.608065351,NA,"unknown"
16673,"aurantiogliocladin","C10 H12 O4",196.07359,197.08086,"15","bottom","half",339800.202814766,26982.2508455071,2,19079.3325445345,NA,"unknown"
16673,"aurantiogliocladin","C10 H12 O4",196.07359,197.08086,"25","bottom","half",658496.477511392,11605.1818794417,2,8206.10280385648,NA,"unknown"
16673,"aurantiogliocladin","C10 H12 O4",196.07359,197.08086,"29","bottom","half",1471967.43683289,142652.663942744,2,100870.66602824,NA,"unknown"
16673,"aurantiogliocladin","C10 H12 O4",196.07359,197.08086,"29","middle","half",1167282.38212359,203034.621465523,2,143567.157653915,NA,"unknown"
16673,"aurantiogliocladin","C10 H12 O4",196.07359,197.08086,"29","middle","quarter",1274043.56926558,63832.2747320639,2,45136.2343216051,NA,"unknown"
16673,"aurantiogliocladin","C10 H12 O4",196.07359,197.08086,"29","top","quarter",1474398.20568675,220615.005351773,2,155998.366315745,NA,"unknown"
16674,"aurantiogliocladin","C10 H12 O4",196.07357,197.08084,"25","bottom","half",629036.142924194,604853.545177871,2,427696.043419996,NA,"unknown"
16677,"aurantiogliocladin","C10 H12 O4",196.07359,197.08087,"29","middle","half",471597.89750579,161686.296986343,2,114329.477023985,NA,"unknown"
16678,"aurantiogliocladin","C10 H12 O4",196.07359,197.08086,"25","bottom","half",897780.533524505,96102.8024448959,2,67954.943299817,NA,"unknown"
16685,"aurantiogliocladin","C10 H12 O4",196.0736,197.08087,"04","bottom","half",252724.505333289,16149.8617895177,2,11419.6767865935,NA,"unknown"
16685,"aurantiogliocladin","C10 H12 O4",196.0736,197.08087,"29","middle","half",366760.584516634,36910.9429387092,2,26099.978051951,NA,"unknown"
