"name.x","day","height","mean","std","n","se","name.y","class"
"chloramphenicol","29","bottom",1957068.48766153,53688.3097827478,2,37963.367917825,"chloramphenicol","phenicol"
"chloramphenicol","29","bottom",1957068.48766153,53688.3097827478,2,37963.367917825,"phenicol","phenicol"
"chloramphenicol","29","middle",25051463.4878647,19899107.6757773,4,9949553.83788867,"chloramphenicol","phenicol"
"chloramphenicol","29","middle",25051463.4878647,19899107.6757773,4,9949553.83788867,"phenicol","phenicol"
"chloramphenicol","29","top",31382414.7693121,31108712.1091581,4,15554356.054579,"chloramphenicol","phenicol"
"chloramphenicol","29","top",31382414.7693121,31108712.1091581,4,15554356.054579,"phenicol","phenicol"
"chlorhexidine","29","top",7323666.89269516,825464.653925411,2,583691.654420465,"chlorhexidine","aminoglycoside"
"ciclacillin","01","bottom",1012847.24486656,934409.544824662,8,330363.662775477,"cillin","beta-lactam"
"ciclacillin","01","middle",1165210.74491386,845770.071295238,6,345284.18573178,"cillin","beta-lactam"
"ciclacillin","01","top",1099838.73724875,1035308.28238784,8,366036.753547519,"cillin","beta-lactam"
"ciclacillin","04","bottom",1065881.077255,1073316.85354687,4,536658.426773434,"cillin","beta-lactam"
"ciclacillin","08","bottom",844957.954954499,796775.749404875,4,398387.874702437,"cillin","beta-lactam"
"ciclacillin","11","bottom",862376.883447427,812262.042946833,4,406131.021473417,"cillin","beta-lactam"
"ciclacillin","15","bottom",972505.725634816,916399.551637873,4,458199.775818937,"cillin","beta-lactam"
"ciclacillin","18","bottom",850619.57381315,818687.528068507,4,409343.764034254,"cillin","beta-lactam"
"ciclacillin","22","bottom",390792.942224634,11644.8832550387,2,8234.17591576351,"cillin","beta-lactam"
"ciclacillin","25","bottom",1616107.22007384,18919.4474902097,2,13378.0696166301,"cillin","beta-lactam"
"ciclacillin","29","bottom",1018213.47007989,692910.541069404,6,282879.543835974,"cillin","beta-lactam"
"ciclacillin","29","middle",890105.17088178,786718.046476366,8,278146.832772636,"cillin","beta-lactam"
"ciclacillin","29","top",720770.696849065,595398.873359829,8,210505.290431783,"cillin","beta-lactam"
"ciprofloxacin","01","bottom",914848.355496773,58495.3734294663,2,41362.475220015,"floxacin","quinolone"
"ciprofloxacin","01","bottom",914848.355496773,58495.3734294663,2,41362.475220015,"ofloxacin","quinolone"
"ciprofloxacin","01","middle",644779.453417424,80007.9456591949,2,56574.1609244215,"floxacin","quinolone"
"ciprofloxacin","01","middle",644779.453417424,80007.9456591949,2,56574.1609244215,"ofloxacin","quinolone"
"ciprofloxacin","01","top",917256.338137559,NA,1,NA,"floxacin","quinolone"
"ciprofloxacin","01","top",917256.338137559,NA,1,NA,"ofloxacin","quinolone"
"ciprofloxacin","11","bottom",839280.790444713,91479.4422976863,2,64685.7339878575,"floxacin","quinolone"
"ciprofloxacin","11","bottom",839280.790444713,91479.4422976863,2,64685.7339878575,"ofloxacin","quinolone"
"ciprofloxacin","18","bottom",759946.138972444,NA,1,NA,"floxacin","quinolone"
"ciprofloxacin","18","bottom",759946.138972444,NA,1,NA,"ofloxacin","quinolone"
"ciprofloxacin","29","bottom",474453.867393359,NA,1,NA,"floxacin","quinolone"
"ciprofloxacin","29","bottom",474453.867393359,NA,1,NA,"ofloxacin","quinolone"
"ciprofloxacin","29","middle",773293.171434866,98369.6964513799,2,69557.879424033,"floxacin","quinolone"
"ciprofloxacin","29","middle",773293.171434866,98369.6964513799,2,69557.879424033,"ofloxacin","quinolone"
"ciprofloxacin","29","top",918606.590224723,74980.4345522308,2,53019.1737281965,"floxacin","quinolone"
"ciprofloxacin","29","top",918606.590224723,74980.4345522308,2,53019.1737281965,"ofloxacin","quinolone"
"clarithromycin","01","bottom",1112497.58298019,6524.46747198272,2,4613.49519307003,"clarithromycin","macrolide_lincosamide"
"clofoctol","04","bottom",206365.873633251,34586.7368549269,2,24456.5161692335,NA,"unknown"
"cloranolol","01","bottom",224799.733957322,34037.7862040789,4,17018.8931020395,NA,"unknown"
"cloranolol","01","middle",236813.092188764,381.517637047417,2,269.773708298497,NA,"unknown"
"cloranolol","01","top",211560.943614211,43476.8554462971,4,21738.4277231486,NA,"unknown"
"cloranolol","04","bottom",184281.614731058,10052.3569438146,2,7108.08976187899,NA,"unknown"
"cloranolol","08","bottom",126237.896250828,24010.9097307678,2,16978.277093084,NA,"unknown"
"cloranolol","11","bottom",133749.485882623,9029.54116894767,2,6384.849791566,NA,"unknown"
"cloranolol","15","bottom",175866.99439185,8485.37924093544,2,6000.06920220501,NA,"unknown"
"cloranolol","18","bottom",108998.552106991,6551.03558795658,2,4632.2816880385,NA,"unknown"
"cloxacillin","01","bottom",718886.227217885,90648.28535712,4,45324.14267856,"cillin","beta-lactam"
