"","peak_number","name","formula","calc_mw","m_z","std","n","se","01-bottom-half","01-middle-half","01-bottom-quarter","01-top-quarter","29-middle-half","01-middle-quarter","01-top-half","04-bottom-half","08-bottom-half","15-bottom-half","18-bottom-half","25-bottom-half","29-bottom-quarter","29-top-half","11-bottom-half","22-bottom-half","29-top-quarter","29-bottom-half","29-middle-quarter"
"66",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,99529.7917832766,2,70378.19070004,NA,1234995.65785486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,8233.94193719945,2,5822.27617969003,NA,NA,NA,NA,NA,1293117.00336192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,117971.295467614,2,83418.303010512,NA,NA,NA,NA,NA,NA,817639.554304081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,50991.12678754,2,36056.1715318125,NA,NA,NA,986336.119748128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,211439.225805888,2,149510.110376177,NA,NA,NA,NA,NA,NA,NA,1096599.26344042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,70646.4328013919,2,49954.571700504,NA,NA,NA,NA,NA,NA,NA,NA,638792.836061392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,9675.0557510495,2,6841.29752992501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639811.216064953,NA,NA,NA,NA
"73",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,139288.619885003,2,98491.927662801,NA,NA,NA,NA,NA,NA,NA,NA,NA,711171.818964111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,17934.5152237783,2,12681.617332027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781288.043420723,NA,NA,NA,NA,NA,NA,NA,NA
"75",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,37424.2291981741,2,26462.9262467085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281762.14495422,NA,NA,NA
"76",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,9080.89380755773,2,6421.161590559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600328.871551703,NA,NA,NA,NA,NA,NA,NA
"77",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,20285.3770894326,2,14343.927698864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636032.962329834,NA
"78",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,54766.0343963785,2,38725.4343003749,NA,NA,NA,NA,4107744.78373003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",14604,"8-Hydroxyquinoline","C9 H7 N O",145.05283,146.06011,11834.4863412614,2,8368.24554376549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424426.910661359,NA,NA,NA,NA,NA
